Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data,Задержка  uS
796,3342866700,0,50,28
797,3342901950,0,4,18
798,3342927200,0,33,28
799,3342962450,0,4,18
800,3342987700,0,30,28
801,3343022950,0,4,18
802,3343048200,0,23,28
803,3343083450,0,4,18
804,3343108700,0,23,28
805,3343143950,0,4,18
806,3343169200,0,52,28
807,3343204450,0,4,18
808,3343229700,0,47,28
809,3343264950,0,4,18
810,3343290200,0,49,28
811,3343325450,0,4,18
812,3343350700,0,6E,28
813,3343385950,0,4,18
814,3343411200,0,64,28
815,3343446450,0,4,18
816,3343471700,0,75,28
817,3343506950,0,4,18
818,3343532200,0,44,28
819,3343567450,0,4,18
820,3343592700,0,2B,27
821,3343626700,0,6,18
822,3343651950,0,50,23
823,3343682700,0,4,18
824,3343707950,0,2B,22
825,3343737200,0,6,18
826,3343762450,0,60,6717
827,3350486450,0,29,19
828,3350512450,EE,0,9552
829,3360071700,0,29,19
830,3360097700,EE,0,9495
831,3369600450,0,29,19
832,3369626450,EE,0,5922
833,3375555450,0,0F,19
834,3375581450,C6,0,41
835,3375629700,0,9,19
836,3375655700,3F,0,48
837,3375710950,0,5,19
838,3375736950,F3,0,54
839,3375798200,0,9,19
840,3375824200,1B,0,45
841,3375876950,0,5,19
842,3375902950,67,0,54
843,3375964200,0,9,19
844,3375990200,1B,0,45
845,3376042950,0,5,19
846,3376068950,67,0,54
847,3376130200,0,9,19
848,3376156200,1B,0,45
849,3376208950,0,5,19
850,3376234950,77,0,54
851,3376296200,0,9,19
852,3376322200,7B,0,46
853,3376375200,0,5,19
854,3376401200,70,0,61
855,3376469950,0,9,19
856,3376495950,78,0,29
857,3376531950,0,6,18
858,3376557200,0,60,3592
859,3380156450,0,29,19
860,3380182450,DC,0,3396
861,3383585700,0,0F,19
862,3383611700,84,0,41
863,3383659950,0,9,19
864,3383685950,36,0,48
865,3383741200,0,5,19
866,3383767200,A0,0,56
867,3383830950,0,9,19
868,3383856950,16,0,45
869,3383909700,0,5,19
870,3383935700,46,0,56
871,3383999450,0,9,19
872,3384025450,16,0,45
873,3384078200,0,5,19
874,3384104200,46,0,56
875,3384167950,0,9,19
876,3384193950,12,0,45
877,3384246700,0,5,19
878,3384272700,66,0,56
879,3384336450,0,9,19
880,3384362450,12,0,45
881,3384415200,0,5,19
882,3384441200,60,0,56
883,3384504950,0,9,19
884,3384530950,12,0,45
885,3384583700,0,5,19
886,3384609700,A6,0,56
887,3384673450,0,9,19
888,3384699450,52,0,46
889,3384752450,0,5,19
890,3384778450,9C,0,64
891,3384850200,0,9,19
892,3384876200,50,0,29
893,3384912200,0,6,18
894,3384937450,0,60,459
895,3385403700,0,9,19
896,3385429700,50,0,336
897,3385773450,0,4,18
898,3385798700,0,51,28
899,3385833950,0,4,18
900,3385859200,0,33,28
901,3385894450,0,4,18
902,3385919700,0,30,28
903,3385954950,0,4,18
904,3385980200,0,23,27
905,3386014200,0,6,18
906,3386039450,0,50,23
907,3386070200,0,4,18
908,3386095450,0,23,22
909,3386124700,0,6,18
910,3386149950,0,60,30089
911,3416246250,0,0F,19
912,3416272250,42,0,41
913,3416320500,0,9,19
914,3416346500,1B,0,48
915,3416401750,0,5,19
916,3416427750,50,0,48
917,3416483000,0,9,19
918,3416509000,0B,0,45
919,3416561750,0,5,19
920,3416587750,23,0,48
921,3416643000,0,9,19
922,3416669000,0B,0,45
923,3416721750,0,5,19
924,3416747750,23,0,48
925,3416803000,0,9,19
926,3416829000,0B,0,45
927,3416881750,0,5,19
928,3416907750,33,0,48
929,3416963000,0,9,19
930,3416989000,0B,0,45
931,3417041750,0,5,19
932,3417067750,30,0,48
933,3417123000,0,9,19
934,3417149000,0B,0,45
935,3417201750,0,5,19
936,3417227750,56,0,48
937,3417283000,0,9,19
938,3417309000,9,0,45
939,3417361750,0,5,19
940,3417387750,30,0,48
941,3417443000,0,9,19
942,3417469000,9,0,45
943,3417521750,0,5,19
944,3417547750,35,0,48
945,3417603000,0,9,19
946,3417629000,9,0,45
947,3417681750,0,5,19
948,3417707750,30,0,48
949,3417763000,0,9,19
950,3417789000,29,0,46
951,3417842000,0,5,19
952,3417868000,30,0,55
953,3417930750,0,9,19
954,3417956750,28,0,29
955,3417992750,0,6,18
956,3418018000,0,60,98491
957,3516516550,0,29,18
958,3516542500,EE,0,549
959,3517098800,0,9,19
960,3517124800,68,0,335
961,3517467050,0,4,18
962,3517492300,0,51,28
963,3517527550,0,4,18
964,3517552800,0,33,28
965,3517588050,0,4,18
966,3517613300,0,30,28
967,3517648550,0,4,18
968,3517673800,0,23,27
969,3517707800,0,6,18
970,3517733050,0,50,23
971,3517763800,0,4,18
972,3517789050,0,23,22
973,3517818300,0,6,18
974,3517843550,0,60,8589
975,3526440300,0,29,19
976,3526466300,EE,0,9537
977,3536010550,0,29,19
978,3536036550,EE,0,7668
979,3543712300,0,0F,19
980,3543738300,42,0,41
981,3543786550,0,9,19
982,3543812550,1B,0,48
983,3543867800,0,5,19
984,3543893800,50,0,51
985,3543952050,0,9,19
986,3543978050,0B,0,45
987,3544030800,0,5,19
988,3544056800,23,0,51
989,3544115050,0,9,19
990,3544141050,0B,0,45
991,3544193800,0,5,19
992,3544219800,23,0,51
993,3544278050,0,9,19
994,3544304050,9,0,45
995,3544356800,0,5,19
996,3544382800,33,0,51
997,3544441050,0,9,19
998,3544467050,9,0,45
999,3544519800,0,5,19
1000,3544545800,30,0,51
1001,3544604050,0,9,19
1002,3544630050,9,0,45
1003,3544682800,0,5,19
1004,3544708800,50,0,51
1005,3544767050,0,9,19
1006,3544793050,29,0,46
1007,3544846050,0,5,19
1008,3544872050,31,0,58
1009,3544937800,0,9,19
1010,3544963800,28,0,29
1011,3544999800,0,6,18
1012,3545025050,0,60,392
1013,3545424050,0,9,19
1014,3545450050,28,0,353
1015,3545810550,0,4,18
